,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
14,PIT,34.0,34.0,10.0,0.0,3.0,45.0,545.0,530.0,49.3,-6.6,403.0,402.0,49.9,-6.4,82.0,7.0,5.0,0.0,0.0,0.0,162.0,adamscr01,7.8,89.3,97.1,34.0,-6.0,2011-12,6.6,6.6,130.0,,13.0,11.17,1,56.2,43.8
31,NYR,34.0,34.0,0.0,0.0,0.0,4.0,150.0,126.0,45.7,-6.5,110.0,86.0,43.9,-10.0,27.0,3.0,2.0,0.0,0.0,0.0,39.0,ashamar01,7.0,97.4,104.0,50.0,2.0,2012-13,14.3,14.3,24.0,,5.0,6.38,1,59.1,40.9
47,CGY,34.0,34.0,4.0,0.0,0.0,21.0,226.0,210.0,48.2,0.4,166.0,160.0,49.1,1.3,36.0,7.0,3.0,2.0,0.0,1.0,62.0,beginst01,10.4,88.1,98.5,22.0,-2.0,2012-13,12.9,12.9,58.0,,4.0,7.0,1,54.5,45.5
62,EDM,34.0,34.0,8.0,4.0,0.0,41.0,852.0,731.0,46.2,-2.2,633.0,546.0,46.3,-3.7,78.0,38.0,2.0,0.0,1.0,1.0,36.0,belaner01,5.9,92.3,98.2,32.0,-13.0,2011-12,3.4,3.4,217.0,,50.0,14.44,1,58.1,41.9
98,PHI,34.0,34.0,20.0,13.0,0.0,16.0,988.0,997.0,50.2,-2.8,699.0,720.0,50.7,-2.1,70.0,32.0,12.0,3.0,4.0,0.0,48.0,brierda01,9.1,92.0,101.0,69.0,5.0,2011-12,9.2,9.2,310.0,,18.0,17.22,1,42.7,57.3
115,BOS,34.0,34.0,29.0,10.0,1.0,87.0,1276.0,1745.0,57.8,4.4,957.0,1277.0,57.2,4.2,79.0,68.0,4.0,0.0,8.0,0.0,166.0,charazd01,9.4,92.0,101.0,86.0,33.0,2011-12,5.4,5.4,437.0,,28.0,25.0,1,51.0,49.0
132,TBL,34.0,34.0,11.0,11.0,0.0,157.0,1050.0,1170.0,52.7,1.8,727.0,885.0,54.9,2.8,82.0,48.0,3.0,1.0,6.0,0.0,117.0,clarkbr01,7.7,92.1,99.8,14.0,2.0,2010-11,10.3,10.3,209.0,,20.0,18.53,1,53.3,46.7
151,MIN,34.0,34.0,11.0,16.0,0.0,36.0,1040.0,814.0,43.9,-2.8,804.0,603.0,42.9,-3.7,78.0,34.0,3.0,2.0,5.0,4.0,39.0,cullema01,7.6,91.8,99.4,34.0,-14.0,2010-11,8.0,8.0,287.0,,43.0,18.02,1,57.9,42.1
194,EDM,34.0,34.0,1.0,0.0,0.0,2.0,66.0,74.0,52.9,-3.6,58.0,52.0,47.3,-14.0,7.0,1.0,0.0,0.0,1.0,0.0,4.0,greenjo01,2.9,84.8,87.7,7.0,-6.0,2011-12,7.1,7.1,22.0,,3.0,11.49,1,47.6,52.4
221,MTL,34.0,34.0,3.0,0.0,0.0,11.0,92.0,118.0,56.2,8.5,69.0,89.0,56.3,10.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,kaberto01,12.9,93.9,106.0,0.0,4.0,2012-13,0.0,0.0,23.0,,1.0,13.33,1,36.2,63.8
240,TOT,34.0,34.0,12.0,0.0,0.0,119.0,1087.0,1008.0,48.1,-5.2,783.0,739.0,48.6,-5.6,69.0,26.0,3.0,1.0,0.0,0.0,130.0,kubinpa01,10.0,90.2,100.0,74.0,-2.0,2011-12,4.0,4.0,158.0,,18.0,19.16,1,53.8,46.2
288,ANA,34.0,34.0,12.0,0.0,1.0,152.0,1126.0,936.0,45.4,-6.1,815.0,701.0,46.2,-4.8,74.0,33.0,0.0,0.0,0.0,0.0,134.0,lydmato01,9.5,91.6,101.0,46.0,0.0,2011-12,0.0,0.0,125.0,,13.0,18.54,1,55.7,44.3
315,LAK,34.0,34.0,11.0,5.0,3.0,136.0,1194.0,1357.0,53.2,-1.7,897.0,978.0,52.2,-2.1,76.0,55.0,5.0,2.0,0.0,0.0,74.0,mitchwi01,7.2,94.4,101.0,44.0,20.0,2011-12,4.8,4.8,239.0,,21.0,22.14,1,49.1,50.9
339,PHX,34.0,34.0,8.0,3.0,0.0,69.0,646.0,716.0,52.6,1.1,507.0,555.0,52.3,0.4,39.0,15.0,0.0,0.0,0.0,0.0,92.0,morride01,5.5,92.3,97.8,36.0,-6.0,2012-13,0.0,0.0,153.0,,10.0,21.24,1,41.6,58.4
366,TOT,34.0,34.0,12.0,0.0,1.0,37.0,881.0,766.0,46.5,-6.2,633.0,571.0,47.4,-3.9,80.0,14.0,3.0,1.0,0.0,1.0,123.0,pahlssa01,6.4,93.4,99.8,34.0,-2.0,2011-12,4.3,4.3,172.0,,44.0,14.46,1,70.9,29.1
407,OTT,34.0,34.0,9.0,0.0,0.0,78.0,767.0,821.0,51.7,-2.8,578.0,613.0,51.5,-2.0,48.0,20.0,4.0,0.0,1.0,0.0,93.0,phillch02,5.9,92.0,98.0,43.0,-5.0,2012-13,5.6,5.6,162.0,,9.0,21.03,1,47.7,52.3
417,CHI,34.0,34.0,9.0,0.0,0.0,21.0,642.0,533.0,45.4,-11.0,462.0,400.0,46.4,-10.0,60.0,13.0,6.0,1.0,1.0,0.0,69.0,pisanfe01,6.9,93.9,100.0,10.0,0.0,2010-11,9.7,9.7,123.0,,32.0,12.34,1,64.0,36.0
447,NYI,34.0,34.0,5.0,0.0,0.0,31.0,619.0,458.0,42.5,-5.7,434.0,344.0,44.2,-4.3,61.0,15.0,1.0,0.0,0.0,0.0,43.0,reasoma01,2.7,90.4,93.2,34.0,-25.0,2011-12,1.4,1.4,110.0,,25.0,11.37,1,57.8,42.2
462,CHI,34.0,34.0,11.0,0.0,1.0,28.0,290.0,440.0,60.3,7.2,209.0,335.0,61.6,6.9,27.0,13.0,0.0,0.0,0.0,0.0,44.0,rozsimi01,11.6,92.4,103.0,14.0,18.0,2012-13,0.0,0.0,43.0,,10.0,18.07,1,37.3,62.7
480,COL,34.0,34.0,11.0,6.0,0.0,143.0,1156.0,1026.0,47.0,-2.8,822.0,773.0,48.5,-2.5,70.0,36.0,3.0,0.0,1.0,0.0,107.0,saleiru01,9.3,90.5,99.8,72.0,-4.0,2008-09,4.3,4.3,242.0,,18.0,21.06,1,48.0,52.0
492,VAN,34.0,34.0,11.0,9.0,0.0,65.0,706.0,728.0,50.8,1.7,545.0,542.0,49.9,1.2,60.0,29.0,0.0,2.0,5.0,0.0,44.0,salosa01,8.9,92.7,101.0,26.0,5.0,2008-09,4.5,4.5,245.0,,22.0,20.11,1,50.6,49.4
513,CGY,34.0,34.0,2.0,0.0,0.0,33.0,349.0,333.0,48.8,1.3,253.0,241.0,48.8,0.5,28.0,13.0,0.0,0.0,0.0,0.0,43.0,saricco01,5.8,89.9,95.8,16.0,-8.0,2012-13,0.0,0.0,38.0,,6.0,14.52,1,59.3,40.7
565,SJS,34.0,34.0,3.0,0.0,0.0,94.0,608.0,628.0,50.8,-3.0,421.0,464.0,52.4,-2.4,54.0,25.0,1.0,0.0,0.0,0.0,65.0,whiteco01,6.1,91.9,98.1,21.0,-5.0,2011-12,3.0,3.0,71.0,,10.0,14.57,1,50.6,49.4
607,NJD,34.0,34.0,5.0,0.0,2.0,9.0,216.0,257.0,54.3,-6.4,151.0,194.0,56.2,-4.6,22.0,6.0,2.0,0.0,0.0,0.0,31.0,zubruda01,6.5,87.4,93.9,12.0,-3.0,2012-13,9.1,9.1,39.0,,6.0,16.47,1,49.7,50.3
41,TBL,34.0,34.0,11.0,0.0,2.0,99.0,1014.0,1021.0,50.2,-1.0,768.0,787.0,50.6,-1.5,77.0,40.0,4.0,2.0,0.0,0.0,139.0,breweer01,7.5,93.1,100.0,59.0,10.0,2013-14,4.8,4.8,178.0,178.0,17.0,17.33,1,51.6,48.4
73,FLA,34.0,34.0,18.0,10.0,2.0,108.0,1418.0,1573.0,52.6,1.5,1106.0,1208.0,52.2,0.5,82.0,45.0,5.0,2.0,2.0,0.0,50.0,campbbr02,7.6,91.2,98.8,20.0,-6.0,2013-14,6.0,6.0,279.0,279.0,43.0,26.57,1,49.9,50.1
91,WSH,34.0,34.0,22.0,4.0,1.0,30.0,1060.0,935.0,46.9,-2.5,788.0,696.0,46.9,-2.1,82.0,30.0,14.0,0.0,1.0,0.0,140.0,chimeja01,9.5,92.4,101.0,36.0,4.0,2013-14,9.0,9.0,254.0,254.0,25.0,15.25,1,56.0,44.0
109,DET,34.0,34.0,6.0,0.0,0.0,21.0,483.0,566.0,54.0,2.3,362.0,436.0,54.6,3.0,48.0,19.0,3.0,0.0,5.0,1.0,56.0,clearda01,5.0,91.7,96.7,40.0,-6.0,2012-13,9.7,9.7,133.0,133.0,11.0,16.27,1,47.6,52.4
127,PIT,34.0,34.0,13.0,0.0,0.0,41.0,619.0,480.0,43.7,-8.1,447.0,356.0,44.3,-8.8,48.0,13.0,8.0,1.0,0.0,0.0,97.0,cookema01,9.5,91.7,101.0,36.0,-2.0,2012-13,13.1,13.1,103.0,103.0,11.0,14.43,1,59.0,41.0
142,BOS,34.0,34.0,13.0,8.0,0.0,56.0,1057.0,1264.0,54.5,-1.1,810.0,946.0,53.9,-0.6,75.0,32.0,3.0,1.0,1.0,0.0,27.0,corvojo01,9.1,91.3,100.0,13.0,10.0,2011-12,2.4,2.4,337.0,337.0,14.0,18.49,1,43.6,56.4
175,EDM,34.0,34.0,13.0,2.0,0.0,108.0,1355.0,1022.0,43.0,-6.9,1034.0,748.0,42.0,-7.8,71.0,55.0,3.0,1.0,0.0,0.0,135.0,ferenan01,8.5,91.4,100.0,63.0,-18.0,2013-14,3.9,3.9,148.0,148.0,13.0,21.04,1,54.4,45.6
198,TOT,34.0,34.0,1.0,0.0,0.0,54.0,505.0,423.0,45.6,-4.1,372.0,299.0,44.6,-5.8,33.0,10.0,0.0,0.0,0.0,0.0,35.0,hannasc01,5.7,90.0,95.7,22.0,-14.0,2012-13,0.0,0.0,53.0,53.0,9.0,19.21,1,55.4,44.6
219,CHI,34.0,34.0,11.0,2.0,1.0,13.0,397.0,549.0,58.0,2.5,298.0,425.0,58.8,1.5,40.0,14.0,12.0,6.0,4.0,1.0,12.0,hossama01,9.5,95.2,104.0,16.0,20.0,2012-13,14.7,14.7,205.0,205.0,48.0,18.02,1,44.1,55.9
254,WPG,34.0,34.0,6.0,1.0,0.0,27.0,646.0,639.0,49.7,-1.5,472.0,468.0,49.8,-1.6,45.0,17.0,7.0,0.0,0.0,0.0,91.0,jokinol01,6.8,88.4,95.2,14.0,-19.0,2012-13,8.2,8.2,176.0,176.0,14.0,17.08,1,46.6,53.4
333,SJS,34.0,34.0,25.0,12.0,0.0,29.0,1195.0,1355.0,53.1,-2.0,873.0,1019.0,53.9,-2.9,82.0,65.0,20.0,4.0,11.0,2.0,85.0,marlepa01,8.8,90.2,99.0,18.0,0.0,2013-14,11.6,11.6,482.0,482.0,50.0,20.31,1,54.0,46.0
364,TOT,34.0,34.0,11.0,2.0,0.0,20.0,550.0,425.0,43.6,-5.7,416.0,312.0,42.9,-5.9,44.0,15.0,10.0,2.0,2.0,0.0,85.0,morrobr01,13.4,89.5,103.0,37.0,-3.0,2012-13,21.8,21.8,96.0,96.0,11.0,14.52,1,55.9,44.1
448,NJD,34.0,34.0,2.0,1.0,0.0,15.0,218.0,384.0,63.8,7.7,170.0,284.0,62.6,7.2,25.0,7.0,1.0,0.0,0.0,0.0,15.0,tallihe01,5.2,91.5,96.7,10.0,0.0,2012-13,4.5,4.5,76.0,76.0,6.0,17.34,1,43.8,56.2
467,SJS,34.0,34.0,47.0,17.0,1.0,34.0,1038.0,1449.0,58.3,7.1,762.0,1062.0,58.2,5.4,82.0,96.0,9.0,3.0,2.0,0.0,54.0,thornjo01,9.6,90.9,100.0,32.0,20.0,2013-14,9.0,9.0,226.0,226.0,76.0,18.56,1,52.8,47.2
479,BOS,34.0,34.0,8.0,0.0,0.0,12.0,673.0,591.0,46.8,-10.0,512.0,452.0,46.9,-9.4,81.0,6.0,4.0,0.0,0.0,1.0,91.0,thornsh01,4.7,93.9,98.6,154.0,-7.0,2011-12,4.4,4.4,187.0,187.0,19.0,9.11,1,48.1,51.9
18,TOT,34.0,34.0,2.0,0.0,0.0,15.0,137.0,157.0,53.4,-2.2,103.0,109.0,51.4,-2.5,11.0,8.0,0.0,0.0,0.0,0.0,20.0,allenbr01,7.7,90.3,98.0,6.0,-2.0,2014-15,0.0,0.0,30.0,30.0,0.0,15.43,1,54.8,45.2
77,ANA,34.0,34.0,10.0,1.0,1.0,107.0,1112.0,1112.0,50.0,-1.5,835.0,835.0,50.0,-2.3,64.0,40.0,9.0,1.0,2.0,0.0,105.0,beaucfr01,9.9,93.8,103.0,48.0,17.0,2014-15,10.0,10.0,213.0,213.0,18.0,22.45,1,51.6,48.4
123,TOT,34.0,34.0,2.0,2.0,0.0,27.0,576.0,498.0,46.4,-2.9,431.0,347.0,44.6,-4.1,47.0,17.0,8.0,2.0,1.0,0.0,101.0,coleer01,9.6,91.3,100.0,20.0,-6.0,2012-13,10.5,10.5,170.0,170.0,18.0,16.24,1,57.7,42.3
140,DET,34.0,34.0,23.0,8.0,3.0,30.0,524.0,719.0,57.8,6.4,389.0,519.0,57.2,5.2,47.0,38.0,7.0,6.0,8.0,0.0,31.0,datsypa01,10.2,94.3,104.0,14.0,21.0,2012-13,14.0,14.0,217.0,217.0,56.0,20.11,1,45.0,55.0
187,NSH,34.0,34.0,17.0,3.0,0.0,60.0,792.0,851.0,51.8,-0.6,567.0,633.0,52.8,0.4,59.0,16.0,11.0,1.0,7.0,1.0,125.0,fishemi01,8.7,90.8,99.5,39.0,4.0,2014-15,17.1,17.1,191.0,191.0,27.0,18.26,1,47.2,52.8
206,BOS,34.0,34.0,1.0,0.0,0.0,7.0,226.0,205.0,47.6,-6.9,177.0,144.0,44.9,-8.4,23.0,7.0,3.0,1.0,0.0,0.0,20.0,gagnesi01,8.0,94.2,102.0,4.0,0.0,2014-15,11.1,11.1,46.0,46.0,3.0,11.18,1,39.6,60.4
217,MTL,34.0,34.0,10.0,2.0,0.0,23.0,607.0,644.0,51.5,-2.0,432.0,465.0,51.8,-1.8,48.0,15.0,9.0,3.0,5.0,0.0,37.0,giontbr01,7.9,92.6,100.0,8.0,3.0,2012-13,12.5,12.5,198.0,198.0,23.0,18.07,1,52.3,47.7
235,FLA,34.0,34.0,8.0,2.0,0.0,16.0,472.0,444.0,48.5,-4.7,372.0,356.0,48.9,-5.7,46.0,15.0,2.0,0.0,0.0,0.0,16.0,gomezsc01,6.1,90.2,96.3,24.0,-11.0,2013-14,3.6,3.6,88.0,88.0,20.0,13.08,1,53.5,46.5
257,EDM,34.0,34.0,4.0,1.0,0.0,20.0,395.0,309.0,43.9,-2.9,309.0,232.0,42.9,-4.3,31.0,19.0,4.0,1.0,3.0,0.0,24.0,horcosh01,11.1,95.0,106.0,24.0,8.0,2012-13,17.1,17.1,60.0,60.0,6.0,16.51,1,57.9,42.1
338,PHI,34.0,34.0,9.0,3.0,0.0,15.0,583.0,525.0,47.4,-2.5,427.0,384.0,47.3,-1.0,57.0,16.0,7.0,0.0,1.0,0.0,40.0,lecavvi01,8.5,90.6,99.0,36.0,-7.0,2014-15,7.8,7.8,187.0,187.0,11.0,12.39,1,41.0,59.0
359,OTT,34.0,34.0,10.0,6.0,2.0,25.0,707.0,687.0,49.3,-1.4,549.0,492.0,47.3,-2.0,80.0,25.0,3.0,0.0,6.0,0.0,43.0,legwada01,7.3,94.3,101.0,32.0,1.0,2014-15,9.9,9.9,162.0,162.0,30.0,13.54,1,56.6,43.4
380,MTL,34.0,34.0,3.0,0.0,0.0,62.0,552.0,292.0,34.6,-15.0,366.0,204.0,35.8,-14.0,58.0,23.0,1.0,1.0,0.0,0.0,37.0,malhoma01,4.7,94.9,99.6,12.0,-6.0,2014-15,2.2,2.2,79.0,79.0,14.0,10.51,1,81.8,18.2
392,MTL,34.0,34.0,5.0,15.0,0.0,60.0,750.0,820.0,52.2,-1.2,570.0,580.0,50.4,-4.1,48.0,50.0,2.0,4.0,8.0,0.0,22.0,markoan01,7.5,90.9,98.4,14.0,-9.0,2012-13,12.7,12.7,175.0,175.0,18.0,24.08,1,49.0,51.0
408,OTT,34.0,34.0,5.0,1.0,0.0,18.0,800.0,814.0,50.4,-4.2,631.0,602.0,48.8,-4.4,76.0,13.0,8.0,0.0,0.0,0.0,253.0,neilch01,5.8,92.8,98.5,211.0,-10.0,2013-14,8.1,8.1,174.0,174.0,16.0,11.48,1,54.2,45.8
475,LAK,34.0,34.0,9.0,0.0,1.0,83.0,1058.0,1046.0,49.7,-6.6,832.0,785.0,48.5,-6.8,67.0,34.0,3.0,0.0,0.0,0.0,203.0,regehro01,8.1,93.5,101.0,45.0,10.0,2014-15,4.8,4.8,129.0,129.0,12.0,20.2,1,53.9,46.1
490,NSH,34.0,34.0,36.0,11.0,0.0,19.0,1118.0,1499.0,57.3,7.2,852.0,1091.0,56.2,5.0,82.0,47.0,14.0,3.0,1.0,0.0,42.0,ribeimi01,9.1,90.6,99.7,52.0,11.0,2014-15,15.6,15.6,169.0,169.0,32.0,18.45,1,29.8,70.2
508,CHI,34.0,34.0,20.0,5.0,0.0,27.0,846.0,1021.0,54.7,1.1,659.0,738.0,52.8,0.0,76.0,31.0,10.0,3.0,2.0,0.0,32.0,richabr01,8.8,92.4,101.0,12.0,3.0,2014-15,6.0,6.0,322.0,322.0,22.0,14.53,1,30.1,69.9
530,MIN,34.0,34.0,1.0,0.0,0.0,0.0,61.0,56.0,47.9,-0.6,46.0,39.0,45.9,-0.8,13.0,2.0,0.0,0.0,0.0,0.0,13.0,ruppmi01,3.6,100.0,103.0,23.0,1.0,2013-14,0.0,0.0,11.0,11.0,0.0,6.13,1,58.8,41.2
