,index_x,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,index_y,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
167,10,2007-08,TOR,29.0,62.0,24.0,-6.0,6.0,0.0,1.0,1.0,11.0,0.0,0.0,8.6,142.0,8.6,142.0,13.58,47.0,20.0,23.0,28.0,deverbo01,1.0,29.0,619.0,605.0,50.6,-0.3,483.0,461.0,51.2,0.0,7.7,89.6,97.3,47.3,52.7,1
168,11,2008-09,TOR,30.0,23.0,2.0,3.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,14.6,60.0,14.6,60.0,13.42,21.0,18.0,8.0,6.0,deverbo01,2.0,30.0,240.0,287.0,45.5,-5.7,184.0,200.0,47.9,-2.3,8.2,91.1,99.3,50.7,49.3,1
177,9,2007-08,NSH,29.0,80.0,34.0,5.0,22.0,7.0,0.0,8.0,34.0,9.0,0.0,15.1,336.0,15.1,336.0,18.30,44.0,11.0,47.0,54.0,dumonjp01,1.0,29.0,1090.0,1024.0,51.6,0.8,850.0,808.0,51.3,0.8,10.8,90.6,101.0,52.9,47.1,1
178,10,2008-09,NSH,30.0,82.0,20.0,1.0,11.0,5.0,0.0,4.0,32.0,17.0,0.0,9.1,318.0,9.1,318.0,17.30,33.0,13.0,39.0,66.0,dumonjp01,2.0,30.0,1082.0,1055.0,50.6,1.6,821.0,824.0,49.9,0.1,10.6,90.5,101.0,55.6,44.4,1
179,11,2009-10,NSH,31.0,74.0,20.0,8.0,13.0,3.0,1.0,3.0,18.0,10.0,0.0,15.2,196.0,15.2,196.0,14.46,20.0,19.0,33.0,34.0,dumonjp01,3.0,31.0,848.0,814.0,51.0,-2.6,631.0,615.0,50.6,-2.8,9.2,92.5,101.0,53.9,46.1,1
180,12,2010-11,NSH,32.0,70.0,16.0,2.0,9.0,1.0,0.0,2.0,6.0,3.0,0.0,11.2,148.0,11.2,148.0,11.11,45.0,8.0,35.0,23.0,dumonjp01,4.0,32.0,614.0,566.0,52.0,1.3,462.0,455.0,50.4,0.2,6.7,93.7,100.0,63.6,36.4,1
193,13,2010-11,ANA,33.0,12.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,10.01,11.0,1.0,3.0,0.0,greenjo01,1.0,33.0,95.0,99.0,49.0,-2.1,76.0,83.0,47.8,-2.2,1.9,93.3,95.3,56.5,43.5,1
194,14,2011-12,EDM,34.0,7.0,7.0,-6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.1,22.0,7.1,22.0,11.49,4.0,2.0,3.0,1.0,greenjo01,2.0,34.0,74.0,66.0,52.9,-3.6,52.0,58.0,47.3,-14.0,2.9,84.8,87.7,52.4,47.6,1
202,8,2007-08,STL,31.0,58.0,42.0,-3.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,11.9,63.0,11.9,63.0,10.31,114.0,18.0,9.0,3.0,hinotda01,1.0,31.0,282.0,449.0,38.6,-10.0,213.0,332.0,39.1,-10.0,7.3,93.0,100.0,45.0,55.0,1
203,9,2008-09,STL,32.0,51.0,64.0,-7.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,4.2,40.0,4.2,40.0,10.55,86.0,29.0,11.0,2.0,hinotda01,2.0,32.0,264.0,400.0,39.8,-11.0,200.0,286.0,41.2,-12.0,9.0,88.5,97.6,43.7,56.3,1
212,9,2007-08,TOR,29.0,82.0,22.0,-8.0,2.0,6.0,0.0,1.0,21.0,24.0,0.0,5.2,265.0,5.2,265.0,24.52,41.0,99.0,24.0,84.0,kaberto01,1.0,29.0,1469.0,1351.0,52.1,0.1,1127.0,1015.0,52.6,0.7,7.9,90.6,98.6,53.2,46.8,1
213,10,2008-09,TOR,30.0,57.0,8.0,-8.0,1.0,3.0,0.0,1.0,11.0,16.0,0.0,4.3,210.0,4.3,210.0,23.28,29.0,78.0,21.0,44.0,kaberto01,2.0,30.0,1004.0,895.0,52.9,1.9,763.0,670.0,53.2,2.1,9.0,88.7,97.8,57.7,42.3,1
214,11,2009-10,TOR,31.0,82.0,24.0,-16.0,4.0,3.0,0.0,1.0,19.0,22.0,1.0,4.4,306.0,4.4,306.0,22.21,44.0,98.0,16.0,63.0,kaberto01,3.0,31.0,1560.0,1286.0,54.8,2.1,1158.0,946.0,55.0,2.5,7.2,89.5,96.7,59.0,41.0,1
215,12,2010-11,TOT,32.0,82.0,18.0,4.0,4.0,0.0,0.0,1.0,18.0,25.0,0.0,3.1,297.0,3.1,297.0,22.07,37.0,140.0,29.0,70.0,kaberto01,4.0,32.0,1412.0,1451.0,49.3,-1.7,989.0,1068.0,48.1,-2.4,8.6,93.0,101.0,52.1,47.9,1
218,15,2011-12,TOT,33.0,72.0,12.0,-18.0,2.0,1.0,0.0,0.0,13.0,15.0,0.0,3.4,188.0,3.4,188.0,17.43,21.0,80.0,18.0,38.0,kaberto01,7.0,33.0,942.0,997.0,48.6,-0.7,680.0,753.0,47.5,-1.1,7.8,90.5,98.3,53.7,46.3,1
221,18,2012-13,MTL,34.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,0.0,23.0,13.33,2.0,11.0,1.0,1.0,kaberto01,10.0,34.0,118.0,92.0,56.2,8.5,89.0,69.0,56.3,10.0,12.9,93.9,106.0,63.8,36.2,1
226,5,2009-10,WSH,31.0,3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,8.13,3.0,0.0,0.0,0.0,kanebo01,2.0,31.0,12.0,22.0,35.3,-11.0,9.0,17.0,34.6,-9.8,0.0,91.7,91.7,50.0,50.0,1
236,10,2007-08,TOR,30.0,72.0,116.0,5.0,5.0,6.0,0.0,4.0,16.0,12.0,1.0,8.1,278.0,8.1,278.0,23.55,121.0,166.0,34.0,48.0,kubinpa01,1.0,30.0,1148.0,1162.0,49.7,-3.6,887.0,857.0,50.9,-2.5,9.3,90.8,100.0,52.7,47.3,1
237,11,2008-09,TOR,31.0,82.0,94.0,-15.0,5.0,9.0,0.0,4.0,13.0,13.0,0.0,7.6,368.0,7.6,368.0,22.03,89.0,133.0,23.0,50.0,kubinpa01,2.0,31.0,1331.0,1266.0,51.3,-0.2,992.0,943.0,51.3,0.0,8.6,89.1,97.8,55.5,44.5,1
238,12,2009-10,ATL,32.0,76.0,66.0,0.0,4.0,2.0,0.0,1.0,23.0,8.0,1.0,3.8,292.0,3.8,292.0,22.38,94.0,111.0,55.0,37.0,kubinpa01,3.0,32.0,1153.0,1198.0,49.0,-1.4,873.0,940.0,48.2,-1.5,10.1,90.2,100.0,43.6,56.4,1
239,13,2010-11,TBL,33.0,79.0,62.0,2.0,3.0,1.0,0.0,2.0,15.0,4.0,0.0,5.1,196.0,5.1,196.0,19.14,90.0,115.0,19.0,35.0,kubinpa01,4.0,33.0,1250.0,1099.0,53.2,1.7,937.0,808.0,53.7,0.7,7.4,92.1,99.6,49.8,50.2,1
240,14,2011-12,TOT,34.0,69.0,74.0,-2.0,3.0,0.0,0.0,1.0,12.0,0.0,0.0,4.0,158.0,4.0,158.0,19.16,130.0,119.0,18.0,26.0,kubinpa01,5.0,34.0,1008.0,1087.0,48.1,-5.2,739.0,783.0,48.6,-5.6,10.0,90.2,100.0,46.2,53.8,1
253,11,2007-08,ATL,30.0,18.0,20.0,-5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,45.0,0.0,45.0,16.44,9.0,18.0,6.0,7.0,kwiatjo01,1.0,30.0,228.0,252.0,47.5,3.4,184.0,204.0,47.4,2.7,5.8,91.9,97.7,42.4,57.6,1
266,13,2008-09,CAR,31.0,11.0,10.0,-1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,5.0,50.0,5.0,4.16,9.0,3.0,1.0,1.0,lacouda01,1.0,31.0,39.0,56.0,41.1,-5.1,28.0,39.0,41.8,-5.3,10.0,90.9,100.0,56.7,43.3,1
277,11,2007-08,CAR,30.0,75.0,30.0,-10.0,8.0,0.0,1.0,1.0,8.0,1.0,0.0,13.4,112.0,13.4,112.0,10.16,26.0,37.0,13.0,8.0,letowtr01,1.0,30.0,483.0,562.0,46.2,-10.0,368.0,401.0,47.9,-8.9,6.1,90.0,96.1,50.7,49.3,1
284,7,2007-08,BUF,30.0,82.0,74.0,1.0,1.0,3.0,0.0,0.0,21.0,0.0,1.0,4.7,175.0,4.7,175.0,21.40,155.0,144.0,18.0,83.0,lydmato01,1.0,30.0,1174.0,1270.0,48.0,-3.8,915.0,939.0,49.4,-3.5,8.8,91.0,99.8,48.0,52.0,1
285,8,2008-09,BUF,31.0,80.0,70.0,0.0,3.0,0.0,0.0,0.0,14.0,5.0,1.0,3.0,201.0,3.0,201.0,21.47,165.0,166.0,20.0,67.0,lydmato01,2.0,31.0,1175.0,1321.0,47.1,-4.7,913.0,973.0,48.4,-2.8,8.2,91.3,99.5,46.4,53.6,1
286,9,2009-10,BUF,32.0,67.0,30.0,10.0,4.0,0.0,0.0,1.0,14.0,2.0,0.0,5.2,145.0,5.2,145.0,18.52,123.0,97.0,10.0,48.0,lydmato01,3.0,32.0,974.0,985.0,49.7,0.3,754.0,744.0,50.3,1.1,7.3,93.6,101.0,50.5,49.5,1
287,10,2010-11,ANA,33.0,78.0,42.0,32.0,3.0,0.0,0.0,0.0,20.0,2.0,0.0,3.0,195.0,3.0,195.0,22.10,141.0,178.0,11.0,38.0,lydmato01,4.0,33.0,1177.0,1323.0,47.1,4.4,911.0,991.0,47.9,4.4,12.1,92.9,105.0,42.8,57.2,1
288,11,2011-12,ANA,34.0,74.0,46.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,125.0,0.0,125.0,18.54,134.0,152.0,13.0,33.0,lydmato01,5.0,34.0,936.0,1126.0,45.4,-6.1,701.0,815.0,46.2,-4.8,9.5,91.6,101.0,44.3,55.7,1
289,12,2012-13,ANA,35.0,35.0,12.0,-1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,61.0,0.0,61.0,19.23,83.0,76.0,6.0,19.0,lydmato01,6.0,35.0,481.0,517.0,48.2,1.2,364.0,351.0,50.9,2.6,6.9,91.1,98.0,47.1,52.9,1
298,9,2007-08,TBL,30.0,65.0,16.0,-10.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,2.4,135.0,2.4,135.0,10.52,53.0,33.0,21.0,4.0,macdocr01,1.0,30.0,396.0,492.0,44.6,-8.9,310.0,363.0,46.1,-8.0,6.2,90.8,97.0,34.1,65.9,1
299,10,2008-09,CBJ,31.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,16.7,9.0,16.7,9.0,10.39,7.0,1.0,1.0,0.0,macdocr01,2.0,31.0,43.0,61.0,41.3,-15.0,33.0,47.0,41.3,-14.0,8.0,96.9,104.0,50.0,50.0,1
311,12,2007-08,VAN,30.0,72.0,81.0,6.0,2.0,0.0,0.0,1.0,9.0,1.0,0.0,3.1,141.0,3.1,141.0,23.12,49.0,109.0,37.0,41.0,mitchwi01,1.0,30.0,995.0,1184.0,45.7,-4.2,779.0,920.0,45.9,-3.8,8.6,92.7,101.0,37.3,62.7,1
312,13,2008-09,VAN,31.0,82.0,59.0,29.0,3.0,0.0,0.0,1.0,20.0,0.0,0.0,3.4,207.0,3.4,207.0,22.55,81.0,125.0,39.0,58.0,mitchwi01,2.0,31.0,1334.0,1316.0,50.3,2.4,988.0,1003.0,49.6,1.4,10.5,93.5,104.0,43.2,56.8,1
313,14,2009-10,VAN,32.0,48.0,48.0,13.0,4.0,0.0,0.0,1.0,7.0,0.0,1.0,8.5,104.0,8.5,104.0,22.37,32.0,79.0,23.0,27.0,mitchwi01,3.0,32.0,779.0,799.0,49.4,-3.3,606.0,617.0,49.6,-2.3,9.7,92.9,102.0,43.0,57.0,1
314,15,2010-11,LAK,33.0,57.0,21.0,4.0,4.0,0.0,1.0,1.0,5.0,0.0,0.0,8.5,152.0,8.5,152.0,21.49,35.0,85.0,12.0,47.0,mitchwi01,4.0,33.0,961.0,919.0,51.1,-3.4,684.0,707.0,49.2,-4.6,9.3,91.5,100.0,45.4,54.6,1
315,16,2011-12,LAK,34.0,76.0,44.0,20.0,5.0,0.0,0.0,2.0,11.0,5.0,3.0,4.8,239.0,4.8,239.0,22.14,74.0,136.0,21.0,55.0,mitchwi01,5.0,34.0,1357.0,1194.0,53.2,-1.7,978.0,897.0,52.2,-2.1,7.2,94.4,101.0,50.9,49.1,1
316,17,2013-14,LAK,36.0,76.0,58.0,14.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,1.4,177.0,1.4,177.0,20.20,102.0,128.0,10.0,56.0,mitchwi01,6.0,36.0,1307.0,1054.0,55.4,-4.3,974.0,777.0,55.6,-2.1,7.1,93.4,100.0,51.3,48.7,1
317,18,2014-15,FLA,37.0,66.0,25.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,3.8,183.0,3.8,183.0,21.41,99.0,144.0,17.0,34.0,mitchwi01,7.0,37.0,1069.0,1107.0,49.1,-4.3,799.0,836.0,48.9,-4.4,8.1,91.9,100.0,39.0,61.0,1
318,19,2015-16,FLA,38.0,46.0,18.0,-2.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,77.0,3.0,77.0,19.56,68.0,70.0,6.0,18.0,mitchwi01,8.0,38.0,541.0,732.0,42.5,-8.4,435.0,568.0,43.4,-7.5,8.7,92.6,101.0,35.9,64.1,1
330,12,2007-08,PHX,29.0,82.0,83.0,8.0,6.0,2.0,0.0,0.0,9.0,8.0,0.0,5.9,281.0,5.9,281.0,21.43,81.0,115.0,24.0,22.0,morride01,1.0,29.0,1136.0,1273.0,47.2,-4.4,896.0,988.0,47.6,-4.4,8.3,93.3,101.0,40.7,59.3,1
331,13,2008-09,TOT,30.0,75.0,40.0,-10.0,4.0,0.0,1.0,0.0,9.0,5.0,1.0,4.2,278.0,4.2,278.0,20.53,83.0,128.0,20.0,20.0,morride01,2.0,30.0,1109.0,1262.0,46.8,-1.5,829.0,971.0,46.1,-3.3,7.1,92.7,99.8,58.6,41.4,1
334,16,2009-10,TOT,31.0,76.0,37.0,2.0,2.0,2.0,0.0,0.0,14.0,11.0,0.0,3.3,257.0,3.3,257.0,21.27,64.0,110.0,12.0,32.0,morride01,5.0,31.0,1193.0,1038.0,53.5,1.3,914.0,785.0,53.8,1.6,7.7,92.0,99.7,53.0,47.0,1
337,19,2010-11,PHX,32.0,77.0,58.0,-2.0,4.0,1.0,0.0,1.0,10.0,0.0,1.0,6.0,186.0,6.0,186.0,21.04,117.0,136.0,14.0,31.0,morride01,8.0,32.0,1255.0,1406.0,47.2,-6.0,957.0,1093.0,46.7,-6.1,7.3,93.7,101.0,49.3,50.7,1
338,20,2011-12,PHX,33.0,59.0,38.0,-12.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,2.8,159.0,2.8,159.0,18.59,95.0,78.0,12.0,20.0,morride01,9.0,33.0,835.0,924.0,47.5,-4.1,643.0,742.0,46.4,-4.0,6.9,91.7,98.7,54.2,45.8,1
339,21,2012-13,PHX,34.0,39.0,36.0,-6.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,153.0,0.0,153.0,21.24,92.0,69.0,10.0,15.0,morride01,10.0,34.0,716.0,646.0,52.6,1.1,555.0,507.0,52.3,0.4,5.5,92.3,97.8,58.4,41.6,1
340,22,2013-14,PHX,35.0,63.0,41.0,-2.0,5.0,0.0,0.0,0.0,11.0,1.0,0.0,6.1,200.0,6.1,200.0,19.27,99.0,104.0,21.0,23.0,morride01,11.0,35.0,1028.0,1010.0,50.4,-1.9,754.0,773.0,49.4,-2.6,7.5,92.1,99.7,49.8,50.2,1
351,11,2007-08,CGY,29.0,47.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,6.4,74.0,6.4,74.0,9.49,6.0,17.0,9.0,6.0,nilsoma01,1.0,29.0,279.0,266.0,51.2,-5.0,213.0,210.0,50.4,-3.3,6.0,94.7,100.0,58.5,41.5,1
360,9,2007-08,ANA,30.0,56.0,34.0,-2.0,3.0,0.0,3.0,3.0,8.0,1.0,0.0,6.4,152.0,6.4,152.0,18.46,114.0,24.0,33.0,22.0,pahlssa01,1.0,30.0,527.0,598.0,46.8,-12.0,419.0,495.0,45.8,-12.0,5.1,94.2,99.3,44.1,55.9,1
361,10,2008-09,TOT,31.0,65.0,34.0,-17.0,6.0,1.0,0.0,2.0,9.0,2.0,0.0,8.0,139.0,8.0,139.0,18.17,121.0,21.0,25.0,26.0,pahlssa01,2.0,31.0,575.0,716.0,44.5,-12.0,453.0,602.0,42.9,-14.0,6.9,91.5,98.5,41.1,58.9,1
364,13,2009-10,CBJ,32.0,79.0,32.0,-9.0,3.0,0.0,0.0,0.0,10.0,1.0,2.0,3.2,160.0,3.2,160.0,16.17,151.0,35.0,28.0,13.0,pahlssa01,5.0,32.0,736.0,888.0,45.3,-4.6,572.0,687.0,45.4,-3.8,6.0,92.7,98.7,31.9,68.1,1
365,14,2010-11,CBJ,33.0,82.0,30.0,-13.0,6.0,0.0,1.0,1.0,13.0,0.0,0.0,6.5,181.0,6.5,181.0,15.20,162.0,49.0,28.0,8.0,pahlssa01,6.0,33.0,758.0,868.0,46.6,-5.7,586.0,644.0,47.6,-5.3,6.1,91.4,97.5,33.6,66.4,1
366,15,2011-12,TOT,34.0,80.0,34.0,-2.0,3.0,0.0,1.0,1.0,12.0,0.0,1.0,4.3,172.0,4.3,172.0,14.46,123.0,37.0,44.0,14.0,pahlssa01,7.0,34.0,766.0,881.0,46.5,-6.2,571.0,633.0,47.4,-3.9,6.4,93.4,99.8,29.1,70.9,1
378,10,2007-08,COL,30.0,25.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,3.42,18.0,1.0,1.0,5.0,parkesc01,1.0,30.0,64.0,72.0,47.1,-1.5,45.0,54.0,45.5,-5.1,0.0,100.0,100.0,71.7,28.3,1
389,11,2007-08,MIN,30.0,66.0,16.0,2.0,9.0,7.0,0.0,0.0,9.0,5.0,0.0,16.8,155.0,16.8,155.0,14.56,32.0,43.0,13.0,17.0,parrima01,1.0,30.0,532.0,600.0,47.0,-3.2,416.0,445.0,48.3,-0.9,9.3,93.6,102.0,45.0,55.0,1
390,12,2008-09,DAL,31.0,44.0,18.0,-3.0,4.0,4.0,0.0,3.0,4.0,1.0,0.0,17.4,93.0,17.4,93.0,11.16,30.0,21.0,9.0,10.0,parrima01,2.0,31.0,306.0,416.0,42.4,-10.0,241.0,302.0,44.4,-9.7,7.4,93.1,100.0,55.7,44.3,1
391,13,2009-10,TBL,32.0,16.0,4.0,-5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,25.0,15.10,11.0,13.0,1.0,7.0,parrima01,3.0,32.0,135.0,168.0,44.6,-4.6,99.0,120.0,45.2,-3.6,2.9,91.4,94.3,29.0,71.0,1
402,10,2007-08,OTT,29.0,81.0,56.0,15.0,4.0,1.0,0.0,1.0,10.0,0.0,3.0,6.3,164.0,6.3,164.0,22.29,126.0,151.0,25.0,57.0,phillch02,1.0,29.0,1171.0,1322.0,47.0,-6.9,873.0,972.0,47.3,-5.1,9.7,92.3,102.0,44.8,55.2,1
403,11,2008-09,OTT,30.0,82.0,66.0,-14.0,5.0,0.0,1.0,0.0,11.0,3.0,2.0,6.8,183.0,6.8,183.0,21.52,113.0,114.0,32.0,56.0,phillch02,2.0,30.0,1282.0,1229.0,51.1,1.8,961.0,913.0,51.3,1.5,6.7,90.4,97.0,46.6,53.4,1
404,12,2009-10,OTT,31.0,82.0,45.0,8.0,6.0,1.0,1.0,2.0,12.0,3.0,1.0,9.8,172.0,9.8,172.0,22.21,97.0,142.0,29.0,75.0,phillch02,3.0,31.0,1309.0,1310.0,50.0,-3.4,973.0,953.0,50.5,-3.8,9.4,91.4,100.0,48.4,51.6,1
405,13,2010-11,OTT,32.0,82.0,32.0,-35.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,1.2,170.0,1.2,170.0,21.31,116.0,152.0,26.0,54.0,phillch02,4.0,32.0,1206.0,1403.0,46.2,-5.7,875.0,1056.0,45.3,-6.7,6.6,89.9,96.4,48.0,52.0,1
406,14,2011-12,OTT,33.0,80.0,16.0,12.0,1.0,4.0,0.0,1.0,12.0,0.0,2.0,5.9,190.0,5.9,190.0,19.07,134.0,137.0,18.0,50.0,phillch02,5.0,33.0,1208.0,1232.0,49.5,-6.4,863.0,917.0,48.5,-5.8,8.2,93.4,101.0,49.7,50.3,1
407,15,2012-13,OTT,34.0,48.0,43.0,-5.0,4.0,1.0,0.0,0.0,9.0,0.0,0.0,5.6,162.0,5.6,162.0,21.03,93.0,78.0,9.0,20.0,phillch02,6.0,34.0,821.0,767.0,51.7,-2.8,613.0,578.0,51.5,-2.0,5.9,92.0,98.0,52.3,47.7,1
408,16,2013-14,OTT,35.0,70.0,30.0,-13.0,0.0,1.0,0.0,0.0,7.0,7.0,0.0,1.1,173.0,1.1,173.0,19.14,140.0,95.0,10.0,46.0,phillch02,7.0,35.0,1050.0,980.0,51.7,-3.1,790.0,787.0,50.1,-3.7,7.4,90.8,98.1,47.1,52.9,1
409,17,2014-15,OTT,36.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,69.0,0.0,69.0,20.54,70.0,54.0,7.0,26.0,phillch02,8.0,36.0,503.0,642.0,43.9,-6.8,365.0,488.0,42.8,-6.1,7.5,94.0,101.0,46.3,53.7,1
414,5,2007-08,EDM,31.0,56.0,28.0,-5.0,9.0,4.0,0.0,3.0,8.0,1.0,0.0,13.5,165.0,13.5,165.0,16.32,41.0,14.0,20.0,22.0,pisanfe01,1.0,31.0,553.0,709.0,43.8,-5.2,408.0,537.0,43.2,-6.0,8.9,91.8,100.0,44.2,55.8,1
415,6,2008-09,EDM,32.0,38.0,14.0,-1.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,9.7,115.0,9.7,115.0,15.19,48.0,12.0,16.0,12.0,pisanfe01,2.0,32.0,387.0,520.0,42.7,-7.1,288.0,401.0,41.8,-8.5,10.0,92.1,102.0,45.9,54.1,1
