,index_x,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,index_y,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
416,7,2009-10,EDM,33.0,40.0,10.0,-16.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,7.4,90.0,7.4,90.0,14.35,57.0,24.0,13.0,15.0,pisanfe01,3.0,33.0,375.0,544.0,40.8,-7.2,274.0,411.0,40.0,-10.0,6.5,90.3,96.8,47.3,52.7,1
417,8,2010-11,CHI,34.0,60.0,10.0,0.0,6.0,1.0,0.0,1.0,9.0,0.0,0.0,9.7,123.0,9.7,123.0,12.34,69.0,21.0,32.0,13.0,pisanfe01,4.0,34.0,533.0,642.0,45.4,-11.0,400.0,462.0,46.4,-10.0,6.9,93.9,100.0,36.0,64.0,1
428,11,2007-08,WSH,30.0,71.0,46.0,9.0,2.0,0.0,0.0,0.0,19.0,8.0,0.0,2.0,182.0,2.0,182.0,23.29,42.0,119.0,32.0,58.0,potito01,1.0,30.0,1241.0,974.0,56.0,1.7,944.0,724.0,56.6,1.7,8.5,90.8,99.2,54.1,45.9,1
429,12,2008-09,WSH,31.0,52.0,28.0,3.0,3.0,0.0,0.0,1.0,7.0,2.0,1.0,6.3,109.0,6.3,109.0,21.09,31.0,97.0,24.0,42.0,potito01,2.0,31.0,780.0,704.0,52.6,-1.9,578.0,511.0,53.1,-1.4,8.9,90.3,99.2,49.2,50.8,1
430,13,2009-10,WSH,32.0,70.0,42.0,26.0,2.0,2.0,0.0,0.0,16.0,4.0,0.0,5.8,135.0,5.8,135.0,21.24,19.0,121.0,35.0,53.0,potito01,3.0,32.0,1182.0,1053.0,52.9,-0.8,852.0,778.0,52.3,0.4,10.1,93.1,103.0,47.7,52.3,1
431,14,2010-11,WSH,33.0,21.0,8.0,-4.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,10.0,40.0,10.0,40.0,18.22,7.0,27.0,3.0,12.0,potito01,4.0,33.0,289.0,294.0,49.6,-5.5,211.0,215.0,49.5,-6.1,8.0,88.8,96.8,52.1,47.9,1
432,15,2012-13,WSH,35.0,16.0,2.0,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,0.0,24.0,15.13,5.0,15.0,2.0,5.0,potito01,5.0,35.0,201.0,239.0,45.7,-7.8,150.0,191.0,44.0,-8.2,6.6,93.7,100.0,47.5,52.5,1
443,11,2007-08,EDM,30.0,82.0,50.0,-17.0,11.0,0.0,0.0,0.0,11.0,2.0,1.0,9.7,208.0,9.7,208.0,14.58,23.0,53.0,45.0,34.0,reasoma01,1.0,30.0,754.0,889.0,45.9,-2.2,570.0,678.0,45.7,-2.9,8.3,89.1,97.4,37.4,62.6,1
444,12,2008-09,ATL,31.0,79.0,36.0,11.0,13.0,0.0,1.0,2.0,11.0,0.0,5.0,10.7,221.0,10.7,221.0,15.19,41.0,60.0,69.0,18.0,reasoma01,2.0,31.0,754.0,849.0,47.0,-1.8,565.0,635.0,47.1,-2.2,8.3,93.8,102.0,40.2,59.8,1
445,13,2009-10,ATL,32.0,80.0,24.0,-3.0,4.0,0.0,0.0,0.0,11.0,0.0,2.0,4.7,162.0,4.7,162.0,12.30,33.0,49.0,51.0,12.0,reasoma01,3.0,32.0,613.0,712.0,46.3,-4.0,440.0,545.0,44.7,-5.0,7.9,91.6,99.5,40.6,59.4,1
446,14,2010-11,FLA,33.0,82.0,22.0,2.0,14.0,0.0,0.0,4.0,17.0,1.0,0.0,11.3,232.0,11.3,232.0,17.10,71.0,57.0,52.0,17.0,reasoma01,4.0,33.0,1022.0,1046.0,49.4,-1.2,765.0,793.0,49.1,-1.3,7.6,93.1,100.0,41.3,58.7,1
447,15,2011-12,NYI,34.0,61.0,34.0,-25.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.4,110.0,1.4,110.0,11.37,43.0,31.0,25.0,15.0,reasoma01,5.0,34.0,458.0,619.0,42.5,-5.7,344.0,434.0,44.2,-4.3,2.7,90.4,93.2,42.2,57.8,1
448,16,2012-13,NYI,35.0,31.0,4.0,-3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,54.0,0.0,54.0,11.14,21.0,14.0,14.0,1.0,reasoma01,6.0,35.0,249.0,263.0,48.6,0.0,184.0,186.0,49.7,1.3,6.3,90.6,96.9,35.5,64.5,1
455,7,2007-08,NYR,29.0,80.0,80.0,0.0,5.0,6.0,2.0,0.0,13.0,12.0,0.0,10.2,269.0,10.2,269.0,24.33,93.0,129.0,58.0,55.0,rozsimi01,1.0,29.0,1356.0,1085.0,55.6,-1.1,1058.0,834.0,55.9,-2.4,7.1,91.4,98.6,57.7,42.3,1
456,8,2008-09,NYR,30.0,76.0,52.0,-7.0,5.0,3.0,0.0,2.0,9.0,11.0,2.0,6.7,277.0,6.7,277.0,22.31,90.0,113.0,37.0,32.0,rozsimi01,2.0,30.0,1240.0,1033.0,54.6,0.4,945.0,776.0,54.9,0.8,7.5,89.8,97.3,58.5,41.5,1
457,9,2009-10,NYR,31.0,82.0,78.0,3.0,2.0,1.0,0.0,1.0,16.0,3.0,1.0,3.8,179.0,3.8,179.0,21.26,136.0,130.0,34.0,28.0,rozsimi01,3.0,31.0,1273.0,1281.0,49.8,-1.1,944.0,970.0,49.3,-1.8,8.4,92.7,101.0,50.7,49.3,1
458,10,2010-11,TOT,32.0,65.0,42.0,6.0,4.0,2.0,0.0,3.0,9.0,6.0,0.0,10.9,136.0,10.9,136.0,21.00,100.0,108.0,24.0,24.0,rozsimi01,4.0,32.0,1063.0,978.0,52.1,3.3,811.0,720.0,53.0,3.7,8.7,91.7,100.0,47.7,52.3,1
461,13,2011-12,PHX,33.0,54.0,34.0,8.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,109.0,2.0,109.0,19.20,62.0,91.0,13.0,16.0,rozsimi01,7.0,33.0,860.0,833.0,50.8,1.4,618.0,637.0,49.2,0.4,8.2,93.9,102.0,46.3,53.7,1
462,14,2012-13,CHI,34.0,27.0,14.0,18.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,43.0,0.0,43.0,18.07,44.0,28.0,10.0,13.0,rozsimi01,8.0,34.0,440.0,290.0,60.3,7.2,335.0,209.0,61.6,6.9,11.6,92.4,103.0,62.7,37.3,1
463,15,2013-14,CHI,35.0,42.0,32.0,7.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.6,75.0,2.6,75.0,16.39,67.0,43.0,15.0,24.0,rozsimi01,9.0,35.0,638.0,441.0,59.1,1.3,476.0,335.0,58.7,0.3,8.3,89.7,98.1,64.7,35.3,1
464,16,2014-15,CHI,36.0,65.0,22.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,1.8,136.0,1.8,136.0,17.01,103.0,87.0,17.0,36.0,rozsimi01,10.0,36.0,1057.0,903.0,53.9,0.9,760.0,695.0,52.2,-0.1,7.6,91.7,99.4,55.6,44.4,1
465,17,2015-16,CHI,37.0,51.0,33.0,3.0,1.0,0.0,0.0,0.0,9.0,2.0,1.0,2.4,90.0,2.4,90.0,16.10,81.0,63.0,6.0,24.0,rozsimi01,11.0,37.0,693.0,684.0,50.3,0.4,487.0,518.0,48.5,-1.8,8.4,92.6,101.0,57.1,42.9,1
466,18,2016-17,CHI,38.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,10.0,15.13,19.0,12.0,0.0,2.0,rozsimi01,12.0,38.0,98.0,101.0,49.2,-3.0,69.0,79.0,46.6,-3.0,1.9,100.0,101.0,59.4,40.6,1
477,11,2007-08,TOT,33.0,82.0,98.0,-4.0,5.0,1.0,0.0,1.0,16.0,7.0,1.0,5.4,250.0,5.4,250.0,22.27,162.0,135.0,13.0,35.0,saleiru01,1.0,33.0,1220.0,1352.0,47.4,-4.5,933.0,1063.0,46.7,-5.2,7.7,92.1,99.8,46.9,53.1,1
480,14,2008-09,COL,34.0,70.0,72.0,-4.0,3.0,1.0,0.0,0.0,11.0,6.0,0.0,4.3,242.0,4.3,242.0,21.06,107.0,143.0,18.0,36.0,saleiru01,4.0,34.0,1026.0,1156.0,47.0,-2.8,773.0,822.0,48.5,-2.5,9.3,90.5,99.8,52.0,48.0,1
481,15,2009-10,COL,35.0,14.0,10.0,-1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.5,38.0,4.5,38.0,18.46,21.0,20.0,1.0,7.0,saleiru01,5.0,35.0,174.0,196.0,47.0,5.0,142.0,146.0,49.3,7.9,8.1,90.6,98.7,48.1,51.9,1
482,16,2010-11,DET,36.0,75.0,48.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,2.7,161.0,2.7,161.0,17.58,117.0,109.0,19.0,35.0,saleiru01,6.0,36.0,1175.0,1040.0,53.0,-2.2,888.0,808.0,52.4,-2.6,6.6,92.5,99.0,56.6,43.4,1
491,9,2007-08,VAN,33.0,63.0,38.0,8.0,2.0,6.0,0.0,1.0,5.0,11.0,1.0,6.6,278.0,6.6,278.0,23.39,36.0,79.0,18.0,46.0,salosa01,1.0,33.0,843.0,972.0,46.4,-4.9,677.0,741.0,47.7,-3.8,6.9,94.4,101.0,50.3,49.7,1
492,10,2008-09,VAN,34.0,60.0,26.0,5.0,0.0,5.0,0.0,2.0,11.0,9.0,0.0,4.5,245.0,4.5,245.0,20.11,44.0,65.0,22.0,29.0,salosa01,2.0,34.0,728.0,706.0,50.8,1.7,542.0,545.0,49.9,1.2,8.9,92.7,101.0,49.4,50.6,1
493,11,2009-10,VAN,35.0,68.0,18.0,14.0,3.0,6.0,0.0,3.0,10.0,7.0,2.0,7.6,250.0,7.6,250.0,20.41,43.0,60.0,16.0,29.0,salosa01,3.0,35.0,894.0,917.0,49.4,-3.8,680.0,709.0,49.0,-3.9,11.5,91.3,102.0,49.9,50.1,1
494,12,2010-11,VAN,36.0,27.0,14.0,-3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,7.7,81.0,7.7,81.0,20.21,6.0,28.0,3.0,18.0,salosa01,4.0,36.0,395.0,409.0,49.1,-9.9,298.0,319.0,48.3,-10.0,6.4,93.0,99.4,53.9,46.1,1
495,13,2011-12,VAN,37.0,69.0,10.0,7.0,2.0,7.0,0.0,3.0,9.0,7.0,0.0,6.6,282.0,6.6,282.0,20.27,29.0,77.0,23.0,35.0,salosa01,5.0,37.0,995.0,931.0,51.7,-3.6,720.0,708.0,50.4,-3.9,8.3,93.1,101.0,55.1,44.9,1
496,14,2012-13,TBL,38.0,46.0,16.0,5.0,1.0,1.0,0.0,0.0,9.0,6.0,0.0,4.2,99.0,4.2,99.0,20.59,40.0,65.0,13.0,16.0,salosa01,6.0,38.0,581.0,711.0,45.0,-2.2,436.0,540.0,44.7,-3.2,11.9,91.4,103.0,42.0,58.0,1
497,15,2013-14,TBL,39.0,71.0,18.0,11.0,4.0,0.0,0.0,0.0,7.0,6.0,0.0,4.9,179.0,4.9,179.0,18.11,57.0,66.0,17.0,20.0,salosa01,7.0,39.0,910.0,849.0,51.7,1.4,717.0,634.0,53.1,2.6,9.5,91.6,101.0,53.7,46.3,1
508,11,2007-08,CGY,29.0,80.0,135.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,3.5,135.0,3.5,135.0,18.49,157.0,64.0,27.0,44.0,saricco01,1.0,29.0,928.0,912.0,50.4,-5.4,715.0,735.0,49.3,-4.6,8.8,91.9,100.0,44.7,55.3,1
509,12,2008-09,CGY,30.0,76.0,112.0,12.0,2.0,0.0,0.0,0.0,15.0,1.0,2.0,3.5,160.0,3.5,160.0,17.53,132.0,70.0,13.0,46.0,saricco01,2.0,30.0,1032.0,838.0,55.2,-2.2,762.0,666.0,53.4,-1.9,8.3,92.7,101.0,56.2,43.8,1
510,13,2009-10,CGY,31.0,57.0,58.0,4.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,2.2,98.0,2.2,98.0,15.57,115.0,57.0,5.0,36.0,saricco01,3.0,31.0,717.0,662.0,52.0,-3.8,546.0,501.0,52.1,-1.9,7.5,92.9,100.0,53.6,46.4,1
511,14,2010-11,CGY,32.0,76.0,75.0,11.0,4.0,0.0,0.0,1.0,13.0,0.0,0.0,5.3,162.0,5.3,162.0,17.53,175.0,109.0,15.0,51.0,saricco01,4.0,32.0,1134.0,1050.0,51.9,0.4,846.0,757.0,52.8,1.6,8.6,92.2,100.0,48.9,51.1,1
512,15,2011-12,CGY,33.0,62.0,66.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.8,107.0,2.8,107.0,16.07,144.0,60.0,9.0,33.0,saricco01,5.0,33.0,802.0,779.0,50.7,3.6,570.0,579.0,49.6,3.2,7.2,93.4,100.0,47.6,52.4,1
513,16,2012-13,CGY,34.0,28.0,16.0,-8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,38.0,0.0,38.0,14.52,43.0,33.0,6.0,13.0,saricco01,6.0,34.0,333.0,349.0,48.8,1.3,241.0,253.0,48.8,0.5,5.8,89.9,95.8,40.7,59.3,1
514,17,2013-14,COL,35.0,54.0,38.0,7.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,2.1,111.0,2.1,111.0,17.05,107.0,66.0,14.0,19.0,saricco01,7.0,35.0,707.0,773.0,47.8,-2.2,514.0,588.0,46.6,-3.9,9.7,92.4,102.0,50.4,49.6,1
530,16,2007-08,NYI,30.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,8.0,14.19,4.0,0.0,1.0,0.0,simjo01,1.0,30.0,22.0,12.0,64.7,34.5,20.0,6.0,76.9,46.0,0.0,60.0,60.0,37.5,62.5,1
531,17,2008-09,NYI,31.0,49.0,42.0,-12.0,6.0,3.0,0.0,0.0,6.0,0.0,0.0,10.0,149.0,10.0,149.0,12.10,44.0,21.0,13.0,11.0,simjo01,2.0,31.0,429.0,586.0,42.3,-8.4,321.0,413.0,43.7,-7.2,8.8,90.0,98.8,43.4,56.6,1
532,18,2009-10,NYI,32.0,77.0,44.0,-4.0,12.0,1.0,0.0,0.0,9.0,0.0,0.0,10.2,189.0,10.2,189.0,11.39,121.0,36.0,27.0,12.0,simjo01,3.0,32.0,698.0,880.0,44.2,-5.6,504.0,619.0,44.9,-5.7,7.7,92.5,100.0,47.6,52.4,1
533,19,2010-11,NYI,33.0,34.0,22.0,-10.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.6,59.0,2.6,59.0,11.24,53.0,12.0,13.0,2.0,simjo01,4.0,33.0,237.0,370.0,39.0,-8.2,180.0,262.0,40.7,-6.9,6.1,89.3,95.4,36.9,63.1,1
545,12,2007-08,BOS,29.0,80.0,40.0,11.0,16.0,10.0,1.0,5.0,16.0,13.0,0.0,11.8,334.0,11.8,334.0,17.00,50.0,25.0,25.0,21.0,sturmma01,1.0,29.0,912.0,780.0,53.9,2.5,714.0,625.0,53.3,3.3,8.1,93.1,101.0,50.9,49.1,1
546,13,2008-09,BOS,30.0,19.0,8.0,9.0,3.0,4.0,0.0,0.0,5.0,1.0,0.0,15.6,65.0,15.6,65.0,16.01,12.0,3.0,5.0,3.0,sturmma01,2.0,30.0,170.0,170.0,50.0,-3.2,136.0,131.0,50.9,0.1,11.5,96.7,108.0,46.4,53.6,1
547,14,2009-10,BOS,31.0,76.0,30.0,14.0,17.0,4.0,1.0,2.0,9.0,6.0,0.0,10.8,313.0,10.8,313.0,16.46,69.0,24.0,31.0,19.0,sturmma01,3.0,31.0,1001.0,834.0,54.6,1.7,750.0,640.0,54.0,1.1,7.4,94.5,101.0,52.7,47.3,1
548,15,2010-11,TOT,32.0,35.0,23.0,6.0,4.0,1.0,0.0,1.0,8.0,2.0,1.0,8.8,98.0,8.8,98.0,14.14,23.0,6.0,12.0,11.0,sturmma01,4.0,32.0,413.0,384.0,51.8,-1.0,316.0,276.0,53.4,0.4,7.8,93.9,101.0,51.4,48.6,1
551,18,2011-12,TOT,33.0,48.0,25.0,-13.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,4.6,100.0,4.6,100.0,12.19,49.0,14.0,12.0,12.0,sturmma01,7.0,33.0,448.0,424.0,51.4,0.5,326.0,309.0,51.3,-0.3,4.6,89.9,94.5,47.3,52.7,1
561,8,2007-08,NJD,30.0,57.0,26.0,-5.0,2.0,0.0,0.0,1.0,8.0,0.0,0.0,7.4,77.0,7.4,77.0,19.40,106.0,73.0,20.0,24.0,whiteco01,1.0,30.0,684.0,774.0,46.9,-11.0,518.0,597.0,46.5,-11.0,7.4,92.5,99.9,50.4,49.6,1
562,9,2008-09,NJD,31.0,71.0,46.0,18.0,1.0,0.0,0.0,0.0,14.0,0.0,3.0,1.5,130.0,1.5,130.0,19.01,126.0,109.0,12.0,29.0,whiteco01,2.0,31.0,1026.0,908.0,53.1,-0.6,791.0,687.0,53.5,-0.5,9.6,91.4,101.0,46.2,53.8,1
563,10,2009-10,NJD,32.0,81.0,46.0,8.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,4.3,118.0,4.3,118.0,20.04,143.0,126.0,20.0,40.0,whiteco01,3.0,32.0,1124.0,1125.0,50.0,-2.4,879.0,846.0,51.0,-2.8,8.5,91.8,100.0,40.8,59.2,1
564,11,2010-11,NJD,33.0,69.0,48.0,-2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,96.0,0.0,96.0,18.51,109.0,100.0,21.0,38.0,whiteco01,4.0,33.0,862.0,877.0,49.6,-4.3,653.0,654.0,50.0,-4.3,7.1,92.5,99.6,48.1,51.9,1
565,12,2011-12,SJS,34.0,54.0,21.0,-5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,71.0,3.0,71.0,14.57,65.0,94.0,10.0,25.0,whiteco01,5.0,34.0,628.0,608.0,50.8,-3.0,464.0,421.0,52.4,-2.4,6.1,91.9,98.1,49.4,50.6,1
573,8,2008-09,STL,31.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,11.03,2.0,2.0,0.0,0.0,whitftr01,1.0,31.0,17.0,23.0,42.5,-11.0,16.0,16.0,50.0,-5.6,18.2,100.0,118.0,15.4,84.6,1
574,9,2009-10,BOS,32.0,16.0,7.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,23.0,11.03,14.0,5.0,3.0,0.0,whitftr01,2.0,32.0,122.0,114.0,51.7,-5.8,93.0,81.0,53.4,-4.6,5.4,90.0,95.4,50.5,49.5,1
582,7,2007-08,LAK,29.0,53.0,30.0,-8.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,6.5,111.0,6.5,111.0,10.38,42.0,13.0,12.0,10.0,willsbr01,1.0,29.0,465.0,486.0,48.9,1.3,347.0,377.0,47.9,0.6,7.1,89.9,97.1,45.7,54.3,1
583,8,2008-09,COL,30.0,42.0,14.0,-6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.7,108.0,1.7,108.0,11.47,36.0,21.0,12.0,8.0,willsbr01,2.0,30.0,353.0,385.0,47.8,-0.9,269.0,283.0,48.7,-0.2,3.0,93.2,96.2,49.1,50.9,1
602,17,2007-08,NJD,29.0,82.0,38.0,2.0,9.0,4.0,0.0,2.0,21.0,4.0,0.0,10.2,237.0,10.2,237.0,15.42,77.0,17.0,35.0,21.0,zubruda01,1.0,29.0,929.0,809.0,53.5,-0.1,710.0,638.0,52.7,-0.7,8.7,91.9,100.0,56.8,43.2,1
603,18,2008-09,NJD,30.0,82.0,69.0,6.0,14.0,1.0,0.0,3.0,15.0,10.0,0.0,11.5,207.0,11.5,207.0,15.16,98.0,16.0,19.0,25.0,zubruda01,2.0,30.0,1046.0,851.0,55.1,2.0,780.0,665.0,54.0,0.5,8.7,91.7,100.0,51.6,48.4,1
604,19,2009-10,NJD,31.0,51.0,28.0,4.0,9.0,1.0,0.0,4.0,14.0,2.0,1.0,11.6,131.0,11.6,131.0,16.29,61.0,24.0,18.0,21.0,zubruda01,3.0,31.0,577.0,530.0,52.1,2.4,455.0,387.0,54.0,3.9,8.7,91.2,99.9,48.6,51.4,1
605,20,2010-11,NJD,32.0,79.0,53.0,-11.0,12.0,1.0,0.0,2.0,14.0,2.0,1.0,11.3,190.0,11.3,190.0,17.09,107.0,32.0,33.0,30.0,zubruda01,4.0,32.0,881.0,761.0,53.7,2.1,694.0,585.0,54.3,2.7,7.9,89.6,97.5,52.3,47.7,1
606,21,2011-12,NJD,33.0,82.0,34.0,7.0,10.0,4.0,3.0,2.0,23.0,2.0,2.0,15.6,171.0,15.6,171.0,18.41,102.0,41.0,34.0,23.0,zubruda01,5.0,33.0,932.0,868.0,51.8,0.4,711.0,662.0,51.8,0.4,10.5,90.8,101.0,49.9,50.1,1
607,22,2012-13,NJD,34.0,22.0,12.0,-3.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,9.1,39.0,9.1,39.0,16.47,31.0,9.0,6.0,6.0,zubruda01,6.0,34.0,257.0,216.0,54.3,-6.4,194.0,151.0,56.2,-4.6,6.5,87.4,93.9,50.3,49.7,1
608,23,2013-14,NJD,35.0,82.0,46.0,1.0,13.0,0.0,0.0,1.0,13.0,0.0,0.0,10.7,188.0,10.7,188.0,17.33,107.0,39.0,19.0,20.0,zubruda01,7.0,35.0,1006.0,872.0,53.6,-0.5,772.0,686.0,52.9,-0.9,8.3,90.9,99.1,50.5,49.5,1
609,24,2014-15,NJD,36.0,74.0,42.0,-9.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0,5.6,106.0,5.6,106.0,14.40,97.0,40.0,19.0,19.0,zubruda01,8.0,36.0,668.0,796.0,45.6,-1.6,496.0,622.0,44.4,-2.4,6.9,92.5,99.4,38.7,61.3,1
610,25,2015-16,SJS,37.0,50.0,20.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,9.1,66.0,9.1,66.0,11.35,68.0,15.0,15.0,15.0,zubruda01,9.0,37.0,438.0,443.0,49.7,-3.3,321.0,311.0,50.8,-3.0,8.4,92.7,101.0,47.1,52.9,1
624,14,2007-08,CHI,30.0,32.0,38.0,-11.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,5.9,68.0,5.9,68.0,14.58,29.0,35.0,6.0,10.0,zyuzian01,1.0,30.0,275.0,312.0,46.8,-7.0,207.0,237.0,46.6,-6.5,6.4,88.9,95.3,45.8,54.2,1
