,name,url,height,weight,shot,pos,draft
0,Ed Jovanovski,/players/j/jovaned01.html,190,220,L,D,1st
1,Oleg Tverdovsky,/players/t/tverdol01.html,185,211,L,D,2nd
2,Radek Bonk,/players/b/bonkra01.html,188,210,L,C,3rd
3,Jason Bonsignore,/players/b/bonsija01.html,193,220,R,C,4th
4,Jeff O'Neill,/players/o/oneilje01.html,185,195,R,R,5th
5,Ryan Smyth,/players/s/smythry01.html,185,192,L,L,6th
6,Jamie Storr,/players/s/storrja01.html,188,195,a,G,7th
7,Jason Wiemer,/players/w/wiemeja01.html,185,225,L,C,8th
8,Brett Lindros,/players/l/lindrbr01.html,193,215,R,R,9th
9,Nolan Baumgartner,/players/b/baumgno01.html,188,195,R,D,10t
10,Jeff Friesen,/players/f/friesje01.html,185,205,L,L,11t
11,Wade Belak,/players/b/belakwa01.html,196,222,R,R,12t
12,Mattias Ohlund,/players/o/ohlunma01.html,193,233,L,D,13t
13,Ethan Moreau,/players/m/moreaet01.html,190,219,L,L,14t
14,Eric Fichaud,/players/f/fichaer01.html,180,179,a,G,16t
15,Wayne Primeau,/players/p/primewa01.html,193,225,L,C,17t
16,Brad Brown,/players/b/brownbr01.html,193,220,R,D,18t
17,Chris Dingman,/players/d/dingmch01.html,193,235,L,L,19t
18,Jason Botterill,/players/b/botteja01.html,193,220,L,L,20t
19,Yan Golubovsky,/players/g/golubya01.html,190,183,R,D,23r
20,Chris Wells,/players/w/wellsch01.html,198,223,L,C,24t
21,Vadim Sharifijanov,/players/s/shariva01.html,183,205,L,L,25t
22,Dan Cloutier,/players/c/cloutda01.html,185,195,a,G,26t
23,Rhett Warrener,/players/w/warrerh01.html,185,203,R,D,27t
24,Johan Davidsson,/players/d/davidjo02.html,185,190,R,C,28t
25,Stan Neckar,/players/n/neckast01.html,185,214,L,D,29t
26,Deron Quint,/players/q/quintde01.html,188,219,L,D,30t
27,Jason Podollan,/players/p/podolja01.html,185,198,R,R,31s
28,Mike Watt,/players/w/wattmi01.html,188,212,L,L,32n
29,Matt Johnson,/players/j/johnsma03.html,196,235,L,L,33r
30,Josef Marha,/players/m/marhajo01.html,183,176,L,C,35t
31,Ryan Johnson,/players/j/johnsry01.html,185,199,L,C,36t
32,Jason Holland,/players/h/hollaja01.html,190,219,R,D,38t
33,Robb Gordon,/players/g/gordoro01.html,180,190,R,C,39t
34,Jean-Yves Leroux,/players/l/lerouje01.html,188,211,L,L,40t
35,Dave Scatchard,/players/s/scatcda01.html,190,220,R,C,42n
36,Curtis Brown,/players/b/browncu01.html,183,200,L,C,43r
37,Jose Theodore,/players/t/theodjo01.html,180,172,a,G,44t
38,Daniel Goneau,/players/g/goneada01.html,183,195,L,L,47t
39,Sean Haggerty,/players/h/haggese01.html,185,186,L,L,48t
40,Mathieu Dandenault,/players/d/dandema01.html,183,208,R,D,49t
41,Richard Park,/players/p/parkri01.html,180,190,R,R,50t
42,Patrik Elias,/players/e/eliaspa01.html,185,190,L,L,51s
43,Chris Murray,/players/m/murrach01.html,188,213,R,R,54t
44,Sven Butenschön,/players/b/butensv01.html,193,215,L,D,57t
45,Tavis Hansen,/players/h/hanseta01.html,185,205,R,R,58t
46,Vitali Yachmenev,/players/y/yachmvi01.html,180,200,L,L,59t
47,Jason Strudwick,/players/s/strudja01.html,193,226,L,D,63r
48,Fredrik Modin,/players/m/modinfr01.html,193,220,L,L,64t
49,Alexei Yegorov,/players/y/yegoral01.html,180,185,L,R,66t
50,Craig Reichert,/players/r/reichcr01.html,185,200,R,R,67t
51,Rumun Ndur,/players/n/ndurru01.html,188,222,L,D,69t
52,Marko Kiprusoff,/players/k/kipruma01.html,183,195,R,D,70t
53,Sheldon Souray,/players/s/sourash01.html,193,231,L,D,71s
54,Chris Drury,/players/d/drurych01.html,178,191,R,C,72n
55,Greg Crozier,/players/c/crozigr01.html,190,200,L,L,73r
56,Chris Clark,/players/c/clarkch01.html,183,191,R,R,77t
57,Hnat Domenichelli,/players/d/domenhn01.html,183,195,L,L,83r
58,David Nemirovsky,/players/n/nemirda01.html,188,205,R,R,84t
59,Steve McLaren,/players/m/mclarst01.html,183,227,L,D,85t
60,Milan Hejduk,/players/h/hejdumi01.html,183,190,R,R,87t
61,Vaclav Varada,/players/v/varadva01.html,183,208,L,R,89t
62,Brad Lukowich,/players/l/lukowbr01.html,185,200,L,D,90t
63,Matt Herr,/players/h/herrma01.html,188,204,L,C,93r
64,Jamie Wright,/players/w/wrighja01.html,183,195,L,L,98t
65,Eric Nickulas,/players/n/nickuer01.html,180,206,R,R,99t
66,Sylvain Blouin,/players/b/blouisy01.html,188,215,L,L,104
67,Pavel Trnka,/players/t/trnkapa01.html,188,206,L,D,106
68,Nils Ekman,/players/e/ekmanni01.html,183,185,L,L,107
69,Craig Mills,/players/m/millscr01.html,183,190,R,R,108
70,Chris Schmidt,/players/s/schmich01.html,190,212,L,C,111
71,Tony Tuzzolino,/players/t/tuzzoto01.html,188,208,R,R,113
72,Brian Swanson,/players/s/swansbr01.html,178,185,L,C,115
73,Marty Turco,/players/t/turcoma01.html,180,184,a,G,124
74,Bates Battaglia,/players/b/battaba01.html,188,205,L,L,132
75,Daniel Alfredsson,/players/a/alfreda01.html,180,196,R,R,133
76,Bryce Salvador,/players/s/salvabr01.html,193,215,L,D,138
77,Alex Selivanov,/players/s/selival01.html,183,208,L,R,140
78,Alexander Korolyuk,/players/k/korolal01.html,175,190,L,L,141
79,Andre Roy,/players/r/royan01.html,193,229,L,R,151
80,Serge Aubin,/players/a/aubinse01.html,185,200,L,L,161
81,Colin Forbes,/players/f/forbeco01.html,190,215,L,C,166
82,Roman Vopat,/players/v/vopatro01.html,190,223,L,C,172
83,Shane Hnidy,/players/h/hnidysh01.html,188,204,R,D,173
84,Ladislav Kohn,/players/k/kohnla01.html,185,205,L,R,175
85,Steve Webb,/players/w/webbst01.html,183,211,R,R,176
86,Ray Giroux,/players/g/giroura01.html,185,190,L,D,202
87,Eric Bertrand,/players/b/bertrer01.html,185,198,L,L,207
88,Vitali Yeremeyev,/players/y/yeremvi01.html,178,167,a,G,209
89,Frederic Cassivi,/players/c/cassifr01.html,193,220,a,G,210
90,Jan Nemecek,/players/n/nemecja01.html,185,220,L,D,215
91,Tim Thomas,/players/t/thomati01.html,180,201,a,G,217
92,Johan Hedberg,/players/h/hedbejo01.html,183,190,a,G,218
93,Evgeni Nabokov,/players/n/nabokev01.html,183,202,a,G,219
94,Bill Muckalt,/players/m/muckabi01.html,185,200,R,R,221
95,Craig Millar,/players/m/millacr01.html,188,212,L,D,225
96,Tomas Vokoun,/players/v/vokouto01.html,185,210,a,G,226
97,Jorgen Jonsson,/players/j/jonssjo01.html,183,185,L,L,227
98,John Grahame,/players/g/grahajo01.html,190,220,a,G,229
99,Steve Sullivan,/players/s/sullist01.html,175,165,R,R,233
100,Eric Boulton,/players/b/boulter01.html,183,227,L,L,234
101,Tyson Nash,/players/n/nashty01.html,180,191,L,L,247
102,Richard Zednik,/players/z/zedniri01.html,183,200,L,R,249
103,Mike Peluso,/players/p/pelusmi02.html,185,208,R,R,253
104,Sergei Berezin,/players/b/berezse01.html,178,200,R,L,256
105,Tomas Holmstrom,/players/h/holmsto01.html,183,200,L,L,257
106,Per Gustafsson,/players/g/gustape02.html,188,190,L,D,261
107,Jeremy Stevenson,/players/s/steveje01.html,185,215,L,L,60t
108,Ladislav Benysek,/players/b/benysla01.html,188,190,L,D,266
109,Brian White,/players/w/whitebr01.html,185,195,R,D,268
110,Dick Tarnstrom,/players/t/tarnsdi01.html,185,205,L,D,272
111,Antti Tormanen,/players/t/tormaan01.html,185,198,L,R,274
112,Scott Fankhouser,/players/f/fankhsc01.html,188,205,a,G,276
113,Pavel Torgaev,/players/t/torgapa01.html,185,187,L,L,279
114,Kim Johnsson,/players/j/johnski01.html,185,193,L,D,286

